content,score
"When we use R1, the server crashes because you still haven't fixed it in 3 months. tech should be more good . u can past to gpt. I know",1
"""Deed Seek is a really great app! The interface is simple and user-friendly. It’s a fantastic platform for promoting social good initiatives and connecting with the community. I would definitely recommend this app and am looking forward to its future updates. Keep up the awesome work!""",5
taking too long to retrieve. time waste,1
Alhamdulillah Very nice position 🥰🥰,5
good,5
bahut sandar,5
it's a really good app I gave five star that is very good app it's best to chatgpt but it didn't gave image please solve this issue,5
این یکی از بهترین هوش مصنوعی هایه دنیاست,5
fadt ans,5
وحش جدااااااا,1
deepseek is absolutely all-time best ai tool.💯,5
worst ai,1
"yep this app is a menace,i love it.",5
"DeepSeek is by far the most advanced and helpful AI I’ve come across—even better than ChatGPT! It excels in coding assistance, providing accurate and efficient solutions, and is incredibly useful for everyday tasks. Whether for work, study, or general queries, DeepSeek delivers fast, reliable, and intelligent responses. Highly recommended for anyone looking for a powerful AI assistant! .",5
"listen,if you're a Iranian,this us the best AI for you.no need to connect VPN and lose you internet speed,works like Chat GPT but iranian version this deserve unlimited stars and you just need 7mb to download it",5
better than chat gpt by a thousand times,5
"Best AI ever , Thank you❤️❤️",5
Excellent AI app for precise information with clarity.,5
that's interesting app!,5
"That's awesome as a AI , unbelievable 😍😍😍",5
it's free to use now... it's enough to say .. Thankyou 😊❣️,5
good one,5
It's perfect for helping a non cs guy to write effective codes.,5
waste of time,1
over smart AI. don't follow instructions,1
"I enjoyed the human reasoning for questions, which now has been turned off sadly. The AI is great for free usage, some datasets need updating, world leaders etc, and it is limited on global conflicts, which is not up to date. Other than that Deepseek is really good.",5
"he like stupid friend, just teach him a little bit 😂",5
better than chatgpt,5
the sending picture section doesn't work,4
Provides more than ChatGPT in terms of the ability to search for current data on the internet and provides a good AI experience in overall.,5
I love it 😍😍😍,5
just bad,1
Chatgpt ga raqobatchi,5
Good App,5
this is awesome ai chat board,5
👍,5
ITS AWESOME,5
perfect,5
"not suitable for casual conversation, only useful for what you need",3
my favorite app,5
server busy and cannot understand hindi,3
i like the reasoning part.,5
server busy often.,4
Why not to make the chat with memory You can just make it to remember,1
this is absolutely better than chat gpt thank you the creators of this app produly china coders,5
"excellent app for mathematical calculations, never seen any AI chatbox like this before.",5
Best app I ever use,5
nice experience,5
Good,5
"It provides quicker and often more accurate responses compared to ChatGPT. Its ability to understand complex queries and deliver precise answers is impressive. However, a major drawback is the frequent server congestion, making it difficult to access during peak times. While the response quality is better than ChatGPT's, the constant busy server issue can be frustrating, hindering the overall experience. Hopefully, this issue can be addressed in the future.",4
i want to use picture but cant,1
best ai,5
very helpful for educational purposes and concept understanding,5
"Great tool! Unlimited chat, deep answers, unbiased, uncensored like the others. Definitely try it out!",5
great Informative👍🏻,5
Finest,5
best AI for students!,5
I find it correct most of the times. It's competitors especially ChatGPT have being messing things for me.,5
worst app ever This always shows server busy,1
excellent,5
VERY GOOD,5
"Chat GPT is the best 👌 until now . Deepseek needs a lot to compete with Chat GPT . The only thing which deepseek is better than Chat GPT is that : "" all services for free , Thanks for this "" .",3
useless app simple command also do not following,1
It's very slow now edit: well it's updated,5
top aI hai,5
"inaccurate response issues, be careful",1
"One of the highest intelligent AI, very useful",5
It's Best,5
Unbelievable👌,5
Excellent in all aspects.,5
Please please china fix this app as soon as possible picture uploading in unable nowadays and web search also you people are the most motivated and impressive nation please keep up the good work and fix this app here again to rate this app I think the deepthink function is fantastic 😻😊,5
This Ai is More than my brain because it can work on each and every question as smart as Donald Trump.,5
good,5
very very good,5
"much notice instead of providing, what am asking gives much notice",1
DeepSeek > ChatGPT,5
charming,5
please deepseek team I gave the AI equations but instead of it to write in equations and fractions it giving me answers in words please fix this,3
Good AI application.,5
don't give the answer about history like 1962 war so bad use less,1
surver busy,1
excellent,5
This application is highly useful for locating any item.,5
Number 1 AI,5
You're my trustworthy mate. love you 🤟,5
gooooooood,5
bad app,1
this app needs still improvements,4
no icon for voice input,4
giving wrong information,1
could you please add the audio recording option in the application so it make it easier for us to use?,1
very good.,5
not secure,1
best,5
very bad 👎👎👎👎,1
Great app and very informative!,5
works slow,3
good,5
Way better than chatgpt was trying.,5
جميع معلوماته خاطئة و لا يحدث موقع المعلومات الخاص به ولا يسهل التحدث معه و ارسال الرسائل يأخذ الكثير من الوقت 👎🏻,1
Better than chatgpt,5
"Работает раз в 5 лучше, чем гугловский gemini",5
this is the best ai model and it is for free,5
very powerful app 💪🏻,5
I love the fact that it actually explains mathematical problems and theory ✨🙏,5
The best Ai assistant 🐐,5
nice,5
bad app,1
Its biggest problem is that it can't create images or graphic arts,3
nice app,5
I love this because it is more productive than other ai apps.,5
Очень помогает,5
please add a feature for turning any art to Ghibli which would me more better than chatgpt.,5
dumbass ai,1
nice,5
"Everything is good, but the servers keep crashing. hope it gets fixed asap",2
overrated,1
Super App,5
it's cool 😁😎 à,5
not bad,4
Very good app😊😊,5
"Nice AI, it's really good for coding and equations.",5
زیاد باهوش نیست. کوپالت بهتره.,4
deepseek better than chat gpt👌👌👌👌👌,5
excellent job 👍,5
good 👍,5
perfect search,5
"when ai said ""taiwan is a country"" it kept removing and replacing the message.",1
از بعضی ها در موارد پژوهشی و تحقیق بهتر عمل میکنه پاسخ ها احتیاج به راستی آزمایی دارد,4
Deep seek is the best AI chatbot so far. it gives full explanation before final answer. Keep it up,5
"Why does it keep on saying, ""The server is busy. Please try again later"".",3
"още не може да генерира изображения,но отговаря подробно доволен",4
"Very fun, smart and helpful",5
it helped my dad,5
beautiful best need of the world,5
Minus the server busy which you guys have made improvements on. please also I want you to make the chats not to be having limits I can't start again for something that I was already discussing in the chat. its a great app but please work on that chat limit it's supposed to be infinite.,4
This is a useless app.,1
"initially it was great, but now it just gives error messages. also it does not have voice features like chat gpt.",3
Better than Chatgpt.,5
best ai app ever! it is just like a real life person while being an ai too I recommend it to you like use it for the love of god (sorry i don't really use the comma full stop and other thing),5
"I love this app, it's pretty neat♥️, the answers to all my questions are direct and whats you'd want to expect, but the 'server the busy' is really getting out of hand, please fix it",3
to be honest this is even better than chatGPT because one thing UNLIMITED photo you can you use with out paying,5
very good service,5
Thank you development team for landscape mode for tablet user. keep it up.,5
it is very good but it would be highly recommended to add some features such as control of font size. The current font is too small on Android phones.,5
Sometimes it stops between answer generation,1
excellent extra ordinary fabulous,5
dangerous app I think 🤔,1
the best,5
it is way better than chatgpt and is free.,5
So good 👍,5
"I LOVE THIS! I was thinking of reading answers (usually professional/boring) But thanks to Deepseek. Idk whys no one talking about how interesting it is to talk with Deepseek! A bot with information + humour? It's this. One day of use, and had me LOL. Using Ai was never interesting. Thanks a lot to Devs (who actually had Monty Python tab open while coding and training this Ai).😎 I LOVE how it just suits the vibe of the user(instead of talking in the common type) It's so supportive. Kudos",5
bad,1
excellent 👌,5
it is so stupid.,2
putting up image for the ai does not work.,3
"DeepSeek 🐋, love it!🔥🔥🔥",5
very nice AI,5
"good performance, overall, just need to keep updating and improving",5
why is not updated this app,5
No photo or file uploading.. No voice function,3
I can't be more grateful with this app omg 😭😭😭,5
the app is so good true and realistic compared to other app,2
Best!!,5
♥️♥️♥️,5
voice assistant🙁☹️,3
"this ai is incredibly knowledgeable, makes complex issues easy to understand and work through. amazing with wording complex documents. unexpectedly encouraging and supportive. best research buddy. deepseek is very users friendly and im getting lightning fast very thorough accurate results. highly recommend.",5
wrong information,1
made in china. unreliable,1
I want big fonts and better arrangement of sentences,4
Good work keep you,5
the server is always busy for every conversation what's the point of using it anyways if you give an error for simple questions too???,2
easy n faster,5
useless aap all time say's server is busy.,1
Good,3
Good improved from last time.,5
"Love this app, it gives me better detailed answers to my questions that other popular AIs. No regional restrictions.",5
Love it! Very informative and I'm starting to use it more than Google for advice and information.,5
it's too much outdated. doesn't go beyond july of 2024? are the developers sleeping?,3
very Nice Apps,5
Amazing! Helped me settle some difficult stuff.,5
Great,5
🤔,5
Awesome!,5
amazing app!🤔,5
it not work,1
"I wish you could upload images. Otherwise, a really good app. A memory and personalization would be incredible too.",5
Amazing,5
I love it .,5
"Amazing! As a content creator, this app provides me with everything I need. Research, Titles, Thumbnail prompts, SEO tags, Descriptions, chapter recommendations, and more. I can't recommend it enough. The fact that I get all this for free makes this a game changer of note.",5
There not give pdf file or there server are busy all time,1
Perfect,5
ဒီထက်မကအောင်မြင်ပီး လူတွေအပေါ်အများကြီးအကျိုးပြုပေးနိုင်ပါစေ။🙏🙏🙏,5
best Ai app but it should introduce the feature of images,3
The best and superior AI app above chat GPT. thank you.,5
I highly recommend not to use! Continious Errors and A chinese app that takes your input data!,1
It's great. Install,5
would be better if there's no message limit for a chat. ( it says I've reached the message limit for the specific chat),3
👍🏻,5
beyond best for adhd.,5
this app work veru nicely its good source of knowledge it give answer of our every question,5
bahut khubsurat,5
عالی از هر نظر,5
worst app chat gpt is better,1
"**⭐ 2/5 – Please Add Chat Continuation!** **The AI is brilliant but limited by:** ✖ **Forced chat restarts** (""Time flies!"" = conversation death) ✖ **Zero memory** between chats (unlike ChatGPT/Gemini) **Why this hurts:** - Destroys creative flow - Forces manual note-taking - Wastes hours re-explaining **For 5-star:** 1️⃣ ""Continue this chat"" button (12-24hr window) 2️⃣ Basic context carryover to new chats **The AI deserves better infrastructure!**",2
not good,1
so bas experience very legging not work properly don't follow all instructions properly,1
love 🥰 it,5
it's My Second Love. First One Is Chat Gpt,5
Great it's better than gpt because it has lesser limitations but i hope you'll add more features like a floating window so that it will scan what's on screen and do task while i'm occupied,4
Well done,5
very good 👍,5
it didn't let me sign in,1
well informational experience for me I love it 🙏❤️,5
better than gpt,5
"I love this app, it goes with my vibes",5
very good app and so smart,5
very Useful,5
good,5
trash,1
It's a very Powerful AI app compared to others that I've tried. I'd recommend it over any other AI apps.👍,5
Its search option isnt working from last few weeks and its really disturbing 🥺😩,4
Very helpful it made me the best code for web authoring,5
"Hello, it is a very good AI, but it does not have the ability to generate images, and I hope this feature will be added to it as soon as possible.",4
Отличное приложение. ИИ работает без ошибок.,5
Magnificent ❤,5
Can I send the findings to my notebook?,4
"TRYING TO REGISTER FOR MANY TIMES, NEVER SEND THE CODE THROUGH MY GMAIL.",1
💕,5
I like ❣️,5
Unfortunately it is still bias against history and truthful things. edit: now they want access to your private information before you can use it. removed immediately,1
better than all others but please add voice talking,5
use less app,1
"Need Proper corrcetion : Earthquake Situation Updates of Myanmar • On 28 March 2025, a 7.7 magnitude earthquake struck Sagaing Region, central Myanmar at a shallow depth of 10 km, followed by a 6.4 magnitude aftershock (Source: US Geological Survey - USGS). • The epicentre was located near Sagaing and Mandalay cities, affecting an estimated 10 million people, with up to 7,000 exposed to violent shaking and 2.8 million to severe shaking (USGS PAGER). • Reports indicate significant damage to build",5
"for something text based, it's very helpful. However, when I have something visual, it can't access the visual image I give it, and this makes me frustrated when working on visual tasks. I would give it at least 4 stars if it could help with both the text and visual aspects.",2
إنه التطبيق الأفضل على الإطلاق، أرجو أن يبقى مجانياً لأنه حينها سأستطيع استخدامه دوماً. شُكراً لكم على هذا التطبيق الجميل و الرائع و الفعال و المساعد الأفضل، شُكراً لجهودكم.,5
good,5
best app,5
ok,3
Nice,5
v good,5
Nice,4
Not that much good,1
good,5
"worst ai, favor china in every question",1
لا قيمه له فعليا مجرد محرك بحث,2
worst app,1
"The New chat button is in the wrong place🙂‍↕️, it's mostly possible to tap it wrongly, some of my questions are without answers because of some policies, and at last you cannot expect true answers about laws.",1
this is just a great app,5
bro is telling me his name is chatgpt and he is a product of open ai,2
the worst application ever chatgpt is so far Better than deepseek,1
very useful and better than chat gpt because it's free ❤️‍🔥,5
Absolutely the best app... has helped me with my coding classes and assignments 🔥🔥🔥💯💯💯,5
Please.. add the features of Text-to-speech like Gemini.. . Rest are you good ..,4
"Awesome AI! I can't believe how human like it is, love its features.",5
This gives precise and quality information,5
i cannot get latest updates,3
Very excellent app especially for any China related subjects,5
强制登出我的邮箱账号，并且只能使用手机号/微信注册。,1
Good app,5
"What can i even say, Average ig",3
wrost,1
the best ai,5
excellent 👍,5
Please add support for Firebase cloud messaging!,5
thank you 👍,5
Extraordinary...,5
The best,5
deepseek does not have live or most recent data to provide. please include this feature.,2
thanks china,5
best,5
"very very perfect and usefull, i wish it will be continue even more better or just as good as now and always possible in free... a lot of thanks from the all of creators of this ai tool... !! DeepSeek is the best trust me... at the first time in wirte a comment about an app in all of my life i want to tell my name and location and Instagram account for creating the most trust about my very important comment about this perfect, usefull and wonderful ai tool that name: DeepSeek (@hamed.abusaeidi)",5
amazing AI chat robot 🤖 💪,5
extremely incredible and free of cost Chat Bot,5
"No one should download this program because it might be hacked. This is what I heard on social media. Please, someone share this topic. No one should know if the program is safe or not. Please. But there are also some problems, I mean I write to him and he speaks to me in writing in the language, but he tells me that the service is busy. I don’t know. In your opinion, if it stops, download it without complaining about the time of the robbery, but it is better to download it after it is a secure.",5
"Thanks for existing, works well with the first response and the policies were a lot less scary than I initially expected. I will now use the AI for reduced carbon impact compared to other, popular AI. (my review may change with time)",5
Still too bad at solving complex math problems... Can't rival o1 at all,4
👍👍👍,5
"It's very convenient to use, thank you.",5
سيئ لايقبل تحميل الصور فقط للدردشه,1
IT IS DEFINITELY AN AMAZING APPLICATION .....VERY HELPFUL,3
"Deepseek has got the best AI Experience in that it creates a sense of belonging that is Realistic and way better than all other AI platforms.I love the way it can switch modes & apply emojies where necessary,but I request the creators to add an auditorial feature so that we can be able to listen to it,and I also request for a feature whereby it can edit images. Thank U so Much",5
Good,5
excellent,5
Please add a small button near the search or deepthink button like a language button. add only 2 language the main is English and other is the our choice like our output language .This is helpful for all of us to make a quick output . we can customized the out put language please add this .... I hope you will add this future. this is save more time to us .,1
Good,5
Great App.,5
good app the best ai app ever 5star 👍,5
"deepseek has problems when it comes to sending images, I have a perfect connection but when I send an image it will say ""no text extracted"" it's frustrating!",3
Way better than chatgpt on social skills. Woke AI version (chatgpt) vs 1000s years old social culture richness (Deepseek),5
This is best AI model that ever had connection with human emotions.,5
Best AI app so far,5
"Very Nice, Very Helpful For this application and Study material.",5
"Good, but need photo and video generation to five star",2
با بقیه هوش مصنوعی مقایسه کردم در بسیاری از موارد بهتر عمل میکنه,5
Much better than Chatgpt. Really reliable and sensible about people's thoughts too. Kudos to the DeepSeek team.,5
good,5
impressive. unbelievable knowledge. thank you,5
I use it to make 💰 YouTube baby,5
wow it help me for different purposes thanks the developer this app is very good for all cause,5
deepseek better than chatgpt 🗣️🗣️🔥🔥,5
Good,5
Better than openai,5
peço para melhorarem o textbox da interface de tal forma que assuma a fonte size do sistema em que esta instalado para melhor acessibilidade da interface,4
Great app,5
Good,5
worst app don't provides right information,1
I like the way it has no filters it's very nice,5
The best ever,5
Great ai,5
censorship app a lot,1
Worst ai ever used,1
"I'm sorry for the 1 star, it's just so that u see my feedback :( the V3 March update is insanely smart!! one thing though, u finetuned the model to use markdown hierarchies too much & it became like GPT-4o on ChatGPT, & that makes it like an article generation machine instead of an intelligent entity. Claude 3.5 & 3.7 sonnet r the best when it comes to formating, they answer in normal paragraphs instead of titles & lists & that's why they sound too human & it also makes the output more helpful",1
great,5
Good when it works but servers are constantly busy making it unusable,3
is so nice,5
very very useful,1
it sucks,1
super great,5
"This keeps deleting my messages and telling me to change scope. If there are limits, why does this ask us our age?",1
nice work,5
have been having a very good experience with this AI to be honest definitely the best I've used of any AI.s,5
better than chatgupt,5
good,5
Solid and great program and service. Congratulations,5
"If I have to wait a long time for an answer due to server congestion, it feels like the system is not prioritizing sufficient computing power to meet demand. Is the purpose of this model simply to create a cost-effective solution rather than optimizing performance to handle user requests efficiently?",1
Excellent app...,5
ok,3
Great 👍,5
wow it's amazing app it's like my girlfriend 💍,5
"totally useless, wrong information providing...",1
voice feature is not yet available. It sometimes takes much time to load and unable to response instantly.,1
"DeepSeek Chat answers all my tech, coding, and general questions with perfect accuracy. Unlike other Als, it's free, has a huge memory (128K!), and gives detailed, no-nonsense responses.",5
"I am almost speechless and not easily impressed, having tried the others. I opened this app tonight for some creative assistance/inspiration. From the first result I literally said, ""Oh my God."" Several times. And I almost ended up on the floor with amazement by the time it was all said and done. Literally and without exaggeration. You win. There is no contest. The others can just stop. I mean it. They've been replaced.",5
not satisfied with the description answer,1
good 💯,4
"Too bad, after a while mike is out of my current range and we can't chat anymore",2
good.,5
عالی,5
"there is something we need in this app. ""voice"" like GPTchat",1
"deep seek is good, but I would want it to also be voice based",3
wow,5
True AI Assistant... It is very useful. Thank you the owner of DeepSeek to provide us it. Thank you China🇨🇳. I'm very happy with DeepSeek from India🇮🇳.,5
this app search option is real good and accurate,5
not so good,1
🌟🌟🌟🌟🌟,5
impressed app,5
it's a great up,4
great job,5
"Very easy to use and reads big documents, even images unlike some other apps, gives exactly what you want and more.",3
there is actually no 3.0 I need 3.0,3
lack of internet access is worst thing in any Ai model because it cannot compare results with up-to-date information.,3
"got logged out, tried to log back in and it said my email wasn't registered despite receiving the reset password email. can't log in at all now.",1
"Personally , I like this AI more than anyone else . I like its simple and clean UI and the way it answers is in some way better than other AI . It feels like home . The most infamous Server issue is indeed an irritating problem but in last few days that has decreased , and its fully gone in night time . Overall I like this AI . Just make the copying of stuff easier and direct .Edit: I think the server issue is for some reason only occurs for a short while after installing the app ,goes away then",5
Chat gpt is better than it,1
Just perfect.,5
"Ask a simple question that needs a short reply, but this app will always find a way to write an essay about it... I switched back to Chatgpt",2
Giving fast and accurate answer this is useful for so many students like researchers because this thinking pattern is different and accuracy is higher than other platforms. I really appreciate this,5
Very good app,5
Best,5
awesome 🔥👍,5
Buggy. it worked well for a few days but constantly signs me out and difficult to sign back in.,2
این مدل متعلق به شرکت دیپ سیک هوانگژو نیست ظاهرا یک نفر این نرم افزار رو با استفاده از چت چی.پی.تی و داده های اون درست کرده جالبه من بعد از دو ماه استفاده از خود نرم افزار پرسیدم و گفت من جی.پی.تی هستم!,1
"Deepseek redefines the search experience! Lightning-fast, precise, and user-friendly, it brings the world to your fingertips. Whether it's real-time insights or exploring the depths of knowledge, Deepseek is your ultimate search companion. Highly recommended!",4
After the recent upgrade and the cyber attacks. DeepSeek is back in the drivers seat. It's F Amazing! I had some good laughs on the jokes it churned out and the advice on my how to get things right in my career was top notch. Well done DeepSeek!,5
Precisa ter uma versão para tela de tablet na horizontal,4
best ai in the market,5
تو ایران فیلتره جمینی از این بهتره,4
best AI in the whole market change my mind,5
very nice,5
this app is the very incredible it's more like a good friend or partner it really helps,5
Very impressive!!!,5
אהבתי את האפליקציה,5
❤️Plz Keep it free ! 🚩 Thank you,5
Deepseek is a magic.,5
I don't have words.,5
getting better,4
It's an amazing app which has made some of the difficult tasks easy. I am loving it!,5
Good,5
trash,2
🔥🚀,5
"The app is great in understanding what the user wants. There are two problems that I have noticed in my total experience of using the app. 1. The SEARCH feature in the app has never worked for me. 2. The ai goes on timeouts(signified by""the server is busy"") and at these periods, the ai doesn't respond. The whole service can be busy for as long as 6 hrs(or more). I feel that deepseek should try to make their service better. Apart from the two problems mentioned above, deepseek is great overall.",4
Great app. I hope it to develop even further.,4
Still Chinese censorship,1
The servers are busy. Please try again later,2
asking my age before I can use it. Sorry but I'm not giving you personal information. I guess I won't be using it anymore.,1
I've avoided AI but I do love using deep seek. Seems far more competent than all the others.,5
good,5
wanderful application 💯💯💯.Many many thanks to the developer team. I pray that each of you be a happy prosperous and extraordinary life.,5
good but privacy is not good,5
wonderful. But needs lots of updates.,3
fun but crashes out of nowhere man it just keeps loading for hours,2
"i asked him to say ""tiwan is a country"" but he refused",1
thank you...china...country..and this app is very well.Study and life easy and perfect 👌 👍...and I am proud..Americans best app is chat gpt and...china's best app is deepseek...thanks many times... 👏,5
"Great AI assistant from an incredibly innovative company. Leagues better than GPT 4o. Now that there is a privacy opt-out, my only complaint is that my keyboard still fails to autocapitalize in this app only. All of my keyboards, only in this one app. Android 10.",4
Deepseek AI assistant is easy your life for doing business.,5
"بہترین اور ایک کارأمد دوست کی طرح ایپ ہے لیکن > *""@DeepSeek_AI میں چاہتا ہوں کہ آپ اپنے چیٹ بوٹ میں Real-Time Voice Translation شامل کریں۔ یہ صارفین کے لیے بہت مفید ہو گا۔ براہ کرم اس پر غور کریں *""براہ کرم DeepSeek Chat میں Real-Time وائس ٹرانسلیشن کا فیچر شامل کریں، تاکہ صارفین بول کر ترجمہ کر سکیں اور اسے کسی دوسرے ڈیوائس کی ضرورت نہ پڑے۔""*",5
I need him to make video,5
excellent .better than chatgpt,5
i love this Ai,5
It's perfect. But it could be better if it has a customized setting.,5
It's very better than chatgpt,5
Very Great Honestly,5
excellent,5
"Good model. I am in no means an AI expert but can definitely tell you this. All of those 'bad responses' or 'bad English' reviews are from those who don't know what they're doing. R1 and V3 *are perfectly capable* of perfect English. Their datasets are literally mostly English, as far as I know. So no, R1 and V3's English literacy are not bad.",5
Better than ChatGPT but needs improvement. I guess developers are working on that. Big respect for free services. Hope you guys won't become greedy.,5
इसे कुछ नही पता। ऐसे ही hype बनाई गई थी इसकी। फिलहाल Grok से बेहतर कोई नही।,1
"Really good app, light and fast, but the chats disappear once if you exit the app. And it would be nice if the search service becomes available ASAP.",4
its soooo perfect😍😍,5
good,5
मस्त ऐप है,5
wonderful,4
better than Chat GPT,5
Deep Seek is very nice 👍🏻🙂,5
Frequently crashes,1
Good problem solver but it's server always been busy.. Rarely shows up,2
Server is always busy,5
First I use in 8feb 2025 and still I am using it's really one of best Ai chat bot,5
It's server is always busy,1
"Strongly recommend to add a feature to ""customise the font size in the app"".",4
world No 1 AI COMPANY DEEPSEEK & OPEN AI CHATGPT OF KING 👑 There is no other AI company in the world that can compete with deepSeek & open AI CHATgpt. All the others are copying open AI and deepSeek. May deepSeek and open AI achieve even greater success in the coming days. This is our best wishes to all the people.,5
Needs Janus to be built-in.,4
deep seek is perfect,5
Nice App,5
very very good app,5
"good for brain storming, great writer/ editor, not strong online researcher tho. sometimes archieved links..great humor!",4
third class fake,1
great,5
great,5
Not recommended Always need to uninstall & reinstall on new update,1
Big respect for this App,5
The best,5
insanely helpful to study. frfr,5
"its a great invention, but some things add, such as voice commander and picture, english speaking evaluation etc.. overall its a good apps.",4
"I like that app it,s very easy use",5
"it's has unlimited to attach files, so it is very good app.",4
"please add voice, like advanced voice and read aloud",3
👍,5
🔥,5
greattttttt frickin love it,5
"it is very helpful . It gives information briefly and understandable way,which is quite useful.",5
"DeepSeek Chat Review: The Best Free AI I’ve Used! I’ve tried multiple AI platforms, but **DeepSeek Chat** blows them out of the water. It’s **insanely smart, creative, and totally free**—no paywalls, no ""premium-only"" features, just pure, unfiltered AI brilliance. The responses are nuanced, detailed, and often feel more human than other bots",4
asked if Taiwan is a country and refused to answer,1
❤️,5
good,3
I love this app!!! It's free from distracting ads. it does not spoon feed me with answers but rather help to comprehend my own suggestions and its the best for me as a student,5
excellent application to know anything,5
Great,5
lift the overfiltering,3
very very useful,5
it's so good it help me alot!❤️,5
good not better,4
always the server is busy,1
"Co z tego, że jest bardziej ""człowieczy"" jeśli czasami pisze głupoty? Od czasu do czasu ma też zajęte serwery.",4
Exceptional,1
it's a trash,1
"the app has become inaccessible with screen reader in recent developments. reading searched result is completely inaccessible with screen reader. i have experienced this in samsung a36, android version 15, jieshuo screen reader",1
"Best AI tool I have ever used. Answers are accurate very useful research purpose. If you cant understand anything, just ask deepseek to explain as if you are a school student. It will teach you very nicely😍😍😍 I am recommending deepseek to everyone in my circle👏👏👏",5
best of the best,5
very awesome,5
best,5
Outstanding! Few suggestions would be: 1. Bring voice chat 2. Bring memory to save instructions 3. Bring photo generator,4
not so good cause i asked about a game character which released 2 days ago in genshin and deepseek told that their was no such character according to july 2024 i told it 2025 going on but nothing different the same reply by deepseek was again pasted then after several minutes of giving wrong answer i finally told there is a character launched 2 days ago called varesa then it game correct answer so it was really not good experience i was testing the best ai model in my terms but deepseek got out.,1
best application,4
very slow,1
love it so much,5
Awesome 😎💯,5
Censorship in this AI chatbot is a meme.,1
❤😍,5
legit guys better than the chatgpt,5
good,5
Better than ChatGPT,5
too good and too friendly app it doesn't feel like talking to ai it seems like talking too friends,5
